"PERIODO","MES","DIA","accidentes_choque","estimaciones_choque","accidentes_atropello","estimaciones_atropello","accidentes_caida_ocupante","estimaciones_caida_ocupante","accidentes_volcamiento","estimaciones_volcamiento","accidentes_otro","estimaciones_otro"
2014,"1","7",68,69,12,11,12,8,3,3,15,13
2014,"1","8",47,69,8,11,20,10,1,3,9,13
2014,"1","9",62,67,15,11,9,11,4,3,4,13
2014,"1","10",85,72,12,12,9,11,1,3,14,11
2014,"1","11",58,65,10,12,20,9,3,3,14,10
2014,"1","12",52,41,8,10,8,9,2,2,9,9
2014,"1","13",75,75,16,10,15,12,5,4,18,12
2014,"1","14",69,79,8,11,13,10,3,3,18,13
2014,"1","15",81,76,24,12,8,10,3,4,12,13
2014,"1","16",76,74,15,12,17,12,3,3,15,13
2014,"1","17",91,83,15,14,6,11,0,0,13,13
2014,"1","18",72,71,14,13,12,10,3,3,16,11
2014,"1","19",47,44,7,12,10,8,1,3,13,10
2014,"1","20",93,79,7,11,17,11,3,4,10,13
2014,"1","21",77,84,15,14,11,11,3,3,16,13
2014,"1","22",102,80,11,11,8,11,7,3,17,13
2014,"1","23",76,80,19,11,7,10,0,0,18,13
2014,"1","24",91,86,11,11,10,11,1,3,9,13
2014,"1","25",73,74,10,14,6,9,0,0,22,11
2014,"1","26",34,45,17,10,15,8,3,3,26,11
2014,"1","27",102,81,23,12,8,12,5,3,17,14
2014,"1","28",88,84,22,12,9,10,7,4,18,14
2014,"1","29",78,81,7,13,13,10,2,4,6,15
2014,"1","30",64,77,10,13,10,10,2,4,29,13
2014,"1","31",104,84,21,12,11,10,0,0,16,14
2014,"2","1",85,81,17,16,14,10,2,3,19,13
2014,"2","2",34,51,13,13,13,9,3,3,11,12
2014,"2","3",92,88,16,12,11,13,0,0,20,16
2014,"2","4",81,92,14,12,10,11,0,0,18,16
2014,"2","5",81,88,17,12,12,11,5,3,15,16
2014,"2","6",93,86,16,13,15,12,6,4,23,16
2014,"2","7",95,96,18,14,11,11,4,3,19,16
2014,"2","8",75,82,9,15,6,10,5,3,9,13
2014,"2","9",44,50,14,11,16,8,3,3,11,12
2014,"2","10",114,89,12,12,21,13,2,4,21,15
2014,"2","11",89,98,14,14,7,13,3,4,15,15
2014,"2","12",92,92,17,11,9,11,2,4,22,15
2014,"2","13",117,90,13,11,18,12,9,4,29,17
2014,"2","14",81,106,9,13,5,11,2,4,25,17
2014,"2","15",80,86,17,13,15,10,4,4,10,15
2014,"2","16",52,52,14,11,8,9,0,0,16,13
2014,"2","17",90,92,10,12,23,13,1,3,18,16
2014,"2","18",94,97,16,13,10,11,2,4,12,16
2014,"2","19",84,91,9,12,12,12,2,3,25,15
2014,"2","20",90,89,19,11,14,10,3,4,9,17
2014,"2","21",83,96,18,14,17,13,1,3,17,15
2014,"2","22",74,83,21,15,10,12,3,3,17,13
2014,"2","23",51,50,19,12,14,9,2,2,13,12
2014,"2","24",97,90,13,14,12,13,1,3,17,15
2014,"2","25",96,94,18,15,12,12,1,3,16,16
2014,"2","26",71,91,15,14,10,11,1,3,16,16
2014,"2","27",98,86,10,13,18,11,8,3,18,16
2014,"2","28",110,98,13,14,10,11,2,3,14,15
2014,"3","1",95,86,24,15,9,12,5,4,20,12
2014,"3","2",52,54,15,12,9,11,4,2,13,12
2014,"3","3",116,95,12,12,9,14,7,4,11,15
2014,"3","4",101,100,16,12,11,11,3,4,10,15
2014,"3","5",105,98,15,13,22,12,4,4,20,14
