"PERIODO","SEMANA","accidentes_choque","estimaciones_choque","accidentes_atropello","estimaciones_atropello","accidentes_caida_ocupante","estimaciones_caida_ocupante","accidentes_volcamiento","estimaciones_volcamiento","accidentes_otro","estimaciones_otro"
2014,"4",562,595,115,93,65,88,23,25,127,98
2014,"5",543,605,98,100,83,88,9,24,116,103
2014,"6",588,596,99,103,88,87,28,24,115,112
2014,"7",601,612,96,96,88,74,20,26,133,103
2014,"8",575,616,117,97,90,87,13,25,112,105
2014,"9",646,604,103,105,77,94,30,24,103,105
2014,"10",628,632,116,98,88,93,27,26,123,102
2014,"11",652,625,112,103,103,88,36,27,96,103
2014,"12",599,577,104,94,116,82,34,29,83,100
2014,"13",621,613,106,99,115,102,26,30,82,101
2014,"14",641,620,120,100,120,94,14,29,77,94
2014,"15",628,625,112,107,94,101,27,25,85,94
2014,"16",376,474,68,86,62,73,22,26,94,91
2014,"17",587,539,90,92,121,83,17,27,91,98
2014,"18",551,558,96,86,127,96,22,26,92,94
2014,"19",615,599,88,92,91,95,24,26,89,95
2014,"20",600,617,89,92,86,89,26,26,97,96
2014,"21",567,616,108,91,113,85,14,27,111,108
2014,"22",569,553,99,95,81,87,21,25,114,109
2014,"23",606,601,122,98,118,89,18,25,109,101
2014,"24",562,614,117,105,95,89,28,24,103,99
2014,"25",509,547,91,99,97,89,27,26,78,96
2014,"26",555,530,101,93,90,76,21,27,85,90
2014,"27",580,599,109,98,107,89,22,27,106,95
2014,"28",533,607,99,100,92,91,28,26,77,101
2014,"29",546,538,101,91,90,80,21,27,125,95
2014,"30",583,594,114,99,94,89,28,26,90,103
2014,"31",692,683,115,102,121,111,18,27,141,115
2014,"32",579,589,110,99,93,93,25,25,89,103
2014,"33",518,556,110,98,113,88,22,26,84,99
2014,"34",550,586,95,103,88,93,21,26,140,98
2014,"35",614,594,107,101,98,106,31,26,115,109
2014,"36",575,620,99,97,77,87,22,27,97,103
2014,"37",588,603,111,98,108,87,34,27,112,102
2014,"38",613,610,99,97,123,93,18,29,91,101
2014,"39",669,619,106,100,118,109,15,27,117,105
2014,"40",589,633,93,102,92,99,20,25,86,102
2014,"41",502,556,81,92,78,83,15,25,88,96
2014,"42",504,582,110,93,75,84,18,25,100,96
2014,"43",578,577,88,98,70,88,20,24,121,96
2014,"44",635,612,92,90,89,85,22,25,123,103
2014,"45",550,577,83,89,92,78,23,26,115,99
2014,"46",543,597,79,90,73,84,24,27,103,111
2014,"47",564,593,107,88,105,87,27,27,82,94
2014,"48",630,604,96,94,76,88,15,27,90,93
2014,"49",604,570,97,92,94,82,25,26,103,94
2014,"50",562,616,94,96,81,80,14,24,99,97
2014,"51",636,602,103,97,97,88,21,25,97,97
2014,"52",480,504,100,91,54,74,20,25,98,92
2014,"53",53,65,18,22,8,16,1,3,7,14
2015,"1",342,408,95,76,56,61,25,25,62,85
